Designator,Footprint,Quantity,Value,LCSC Part #
"_2, ",,2,,
BT1,BAT_1060,1,Battery_Cell,
BZ1,PKMCS0909E4000-R1_MUR,1,Buzzer,
"C1, C2, C6",0603,3,4.7uF,
"C10, C8, C9",0603,3,100nF,
"C3, C4",0603,2,2.2uF,
"C5, C7",0603,2,1uF,
D1,0603,1,LED_Small,
"D2, D3, D4, D5",EAST1616RGBA1,4,LED_RGBK,
IC1,SON50P300X200X100-9N-D,1,MCP73832T-2ACI_MC,
IC2,SOT95P280X100-5N,1,ADPL44002AUJZ,
IC3,XCDR_SGP40-D-R4,1,SGP40-D-R4,
J1,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0_16P,
J2,PinHeader_1x06_P1.27mm_Vertical,1,SWD,
J3,PinHeader_1x04_P1.27mm_Vertical,1,UART,
Q1,SOT-23,1,SS8550,
"R1, R2",0603,2,5.1K,
R10,0603,1,100K,
"R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R3",0603,13,470R,
R23,0805,1,4.7R,
R4,0603,1,2K,
"R5, R6",0603,2,4.7K,
R8,0603,1,1K,
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,STM32U083KCUx,
